productid,productname,productpic,recordstatus
123,Protector Sleave  P - SLV   ,,1
124,Rack 12U dpth 470 mm Mounted  R 12 U M   ,,1
125,Span Schoor 10 mm  S - SCHR 10 MM   ,,1
126,Span Schoor 12 mm  S - SCHR 12 MM   ,,1
127,Steel band  STEEL - B   ,,1
128,Stopping   STP   ,,1
129,Shock Conduit      ,,1
130,Terminal Box BPL  TB - BPL   ,,1
131,Tiang 7 Meter  PL 7 M   Beton ,,1
132,Tiang 7 Meter  PL 7 M   Besi ,,1
133,Tiang 9 Meter  PL 9 M   Besi ,,1
134,W Cable Connector  W - CBL    ,,1
135,Kawat Label   KWT LABEL    ,,1
